Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/images/splash.gif-68,1,798,798,798,798,798,798,798,0.000%,1.25313,45.05,0.58
/gh/aspectran/aspectran-assets/app/webroot/assets/img/favicon-16x16.png-69,1,54,54,54,54,54,54,54,0.000%,18.51852,23.31,9.37
/gh/aspectran/aspectran-assets/app/webroot/assets/img/android-icon-192x192.png-70,1,63,63,63,63,63,63,63,0.000%,15.87302,69.91,8.14
/npm/bootstrap@5.3.8/dist/js/bootstrap.bundle.min.js-71,1,69,69,69,69,69,69,69,0.000%,14.49275,357.66,6.47
/npm/htmx.org@2.0.7/dist/htmx.min.js-72,1,64,64,64,64,64,64,64,0.000%,15.62500,272.75,6.73
/gh/aspectran/aspectran-assets/app/webroot/assets/js/navigation.js-73,1,56,56,56,56,56,56,56,0.000%,17.85714,21.52,7.74
/gh/aspectran/aspectran-assets/app/webroot/assets/js/theme-toggler.js-74,1,343,343,343,343,343,343,343,0.000%,2.91545,3.85,1.27
/gh/aspectran/aspectran-assets/app/webroot/assets/img/aspectran-site-logo.png-75,1,518,518,518,518,518,518,518,0.000%,1.93050,35.61,1.16
/npm/bootstrap-icons@1.13.1/font/fonts/bootstrap-icons.woff2-76,1,123,123,123,123,123,123,123,0.000%,8.13008,1070.25,4.70
/images/pets.png-77,1,982,982,982,982,982,982,982,0.000%,1.01833,68.05,0.47
/s/opensans/v44/memQYaGs126MiZpBA-UFUIcVXSCEkx2cmqvXlWq8tWZ0Pw86hd0Rk8ZkWVAewA.woff2-79,1,210,210,210,210,210,210,210,0.000%,4.76190,93.57,2.48
/s/opensans/v44/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-muw.woff2-80,1,105,105,105,105,105,105,105,0.000%,9.52381,457.00,4.77
/s/opensans/v44/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-muw.woff2-78,1,69,69,69,69,69,69,69,0.000%,14.49275,695.44,7.26
/s/opensans/v44/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS2mu1aB.woff2-81,1,51,51,51,51,51,51,51,0.000%,19.60784,339.63,9.86
/-82,1,329,329,329,329,329,329,329,100.000%,3.03951,1.62,4.32
/submit/firefox-desktop/messaging-system/1/a53b492e-d7c4-4f50-9905-a579806f0bb3-83,1,272,272,272,272,272,272,272,0.000%,3.67647,2.55,12.80
/-84,1,695,695,695,695,695,695,695,100.000%,1.43885,0.77,2.10
/-85,1,191,191,191,191,191,191,191,100.000%,5.23560,2.79,7.55
/categories/FISH-87,1,347,347,347,347,347,347,347,0.000%,2.88184,17.05,1.47
/jquery-3.7.1.min.js-88,1,476,476,476,476,476,476,476,0.000%,2.10084,63.56,0.90
/products/FI-SW-02-89,1,359,359,359,359,359,359,359,0.000%,2.78552,16.66,1.47
/cart/addItemToCart-90,1,688,688,688,688,688,688,688,0.000%,1.45349,9.82,1.55
/order/newOrderForm-92,1,672,672,672,672,672,672,672,0.000%,1.48810,10.02,1.60
/account/signonForm-93,1,346,346,346,346,346,346,346,0.000%,2.89017,17.36,1.61
/s/opensans/v44/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTUGmu1aB.woff2-94,1,65,65,65,65,65,65,65,0.000%,15.38462,411.85,7.74
/v1/buckets/monitor/collections/changes/changeset-96,1,152,152,152,152,152,152,152,0.000%,6.57895,6.21,2.37
/v1/buckets/main/collections/fxrelay-denylist/changeset-97,1,47,47,47,47,47,47,47,0.000%,21.27660,92.13,8.14
/account/signon-95,1,1023,1023,1023,1023,1023,1023,1023,0.000%,.97752,7.21,2.00
/v1/buckets/monitor/collections/changes/changeset-99,1,43,43,43,43,43,43,43,0.000%,23.25581,21.89,8.40
/v1/buckets/main/collections/fxrelay-allowlist/changeset-100,1,46,46,46,46,46,46,46,0.000%,21.73913,135.23,8.34
/order/newOrderForm-98,1,677,677,677,677,677,677,677,0.000%,1.47710,9.94,1.69
/order/submitOrder-102,2,672,671,674,674,674,671,674,0.000%,.99010,6.61,1.28
/order/newOrder-101,1,674,674,674,674,674,674,674,0.000%,1.48368,9.91,2.26
/-104,1,339,339,339,339,339,339,339,0.000%,2.94985,18.71,1.59
TOTAL,102,183,47,672,695,1023,43,1080,2.941%,5.43189,35.32,3.54
